Name,Land,Kontakt,,,,,,,,,,,#REF!
KRV Steinfurt,Nordrhein-Westfalen,N,,,,,,,,,,,#REF!
KRV Warendorf,Nordrhein-Westfalen,N,,,,,,,,,,,#REF!
STV Arnsberg,Nordrhein-Westfalen,N,,,,,,,,,,,#REF!
STV Lippstadt,Nordrhein-Westfalen,N,,,,,,,,,,,#REF!
STV Siegen,Nordrhein-Westfalen,N,,,,,,,,,,,#REF!
STV Detmold,Nordrhein-Westfalen,N,,,,,,,,,,,#REF!
BezReg Detmold RRK,Nordrhein-Westfalen,N,,,,,,,,,,,#REF!
STV Gütersloh,Nordrhein-Westfalen,N,,,,,,,,,,,#REF!
STV Minden,Nordrhein-Westfalen,N,,,,,,,,,,,#REF!
STV Paderborn,Nordrhein-Westfalen,N,,,,,,,,,,,#REF!
STV Moers,Nordrhein-Westfalen,N,,,,,,,,,,,#REF!
STV Dorsten,Nordrhein-Westfalen,N,,,,,,,,,,,#REF!
STV Herten,Nordrhein-Westfalen,N,,,,,,,,,,,#REF!
STV Marl,Nordrhein-Westfalen,N,,,,,,,,,,,#REF!
STV Rheine,Nordrhein-Westfalen,N,,,,,,,,,,,#REF!
Bezirksregierung Düsseldorf,Nordrhein-Westfalen,N,,,,,,,,,,,#REF!
STV Dinslaken,Nordrhein-Westfalen,N,,,,,,,,,,,#REF!
STV Ludwigshafen,Rheinland-Pfalz,N,,,,,,,,,,,#REF!
STV Frankenthal,Rheinland-Pfalz,N,,,,,,,,,,,#REF!
STV Kaiserslautern,Rheinland-Pfalz,N,,,,,,,,,,,#REF!
ZABH für Fachkräfteeinwanderung Rheinland-Pfalz,Rheinland-Pfalz,N,,,,,,,,,,,#REF!
STV Landau,Rheinland-Pfalz,N,,,,,,,,,,,#REF!
STV Neustadt/Weinstraße,Rheinland-Pfalz,N,,,,,,,,,,,#REF!
STV Pirmasens,Rheinland-Pfalz,N,,,,,,,,,,,#REF!
STV Speyer,Rheinland-Pfalz,N,,,,,,,,,,,#REF!
ABH Stadt Speyer Außenstelle LEA,Rheinland-Pfalz,N,,,,,,,,,,,#REF!
STV Zweibrücken,Rheinland-Pfalz,N,,,,,,,,,,,#REF!
KRV Bad Dürkheim,Rheinland-Pfalz,N,,,,,,,,,,,#REF!
KRV Germersheim,Rheinland-Pfalz,N,,,,,,,,,,,#REF!
KRV Kaiserslautern,Rheinland-Pfalz,N,,,,,,,,,,,#REF!
KRV Donnersbergkreis,Rheinland-Pfalz,N,,,,,,,,,,,#REF!
ABH Kusel (Standort KRV Kusel),Rheinland-Pfalz,N,,,,,,,,,,,#REF!
ABH Kusel (Standort AfA Kusel),Rheinland-Pfalz,N,,,,,,,,,,,#REF!
KRV Südliche Weinstraße,Rheinland-Pfalz,N,,,,,,,,,,,#REF!
KRV Rhein-Pfalz-Kreis,Rheinland-Pfalz,N,,,,,,,,,,,#REF!
KRV Südwestpfalz,Rheinland-Pfalz,N,,,,,,,,,,,#REF!
STV Koblenz,Rheinland-Pfalz,N,,,,,,,,,,,#REF!
KRV Ahrweiler,Rheinland-Pfalz,N,,,,,,,,,,,#REF!
KRV Altenkirchen,Rheinland-Pfalz,N,,,,,,,,,,,#REF!
KRV Birkenfeld,Rheinland-Pfalz,N,,,,,,,,,,,#REF!
KRV Cochem-Zell,Rheinland-Pfalz,N,,,,,,,,,,,#REF!
KRV Mayen-Koblenz,Rheinland-Pfalz,N,,,,,,,,,,,#REF!
KRV Bad Kreuznach,Rheinland-Pfalz,N,,,,,,,,,,,#REF!
KRV Neuwied,Rheinland-Pfalz,N,,,,,,,,,,,#REF!
ABH Rhein-Hunsrück-Kreis,Rheinland-Pfalz,N,,,,,,,,,,,#REF!
ABH Rhein-Hunsrück-Kreis (Standort AfA Hahn),Rheinland-Pfalz,N,,,,,,,,,,,#REF!
STV Mainz,Rheinland-Pfalz,N,,,,,,,,,,,#REF!
STV Worms,Rheinland-Pfalz,N,,,,,,,,,,,#REF!
KRV Alzey-Worms,Rheinland-Pfalz,N,,,,,,,,,,,#REF!
KRV Mainz-Bingen,Rheinland-Pfalz,N,,,,,,,,,,,#REF!
KRV Westerwaldkreis,Rheinland-Pfalz,N,,,,,,,,,,,#REF!
KRV Rhein-Lahn-Kreis,Rheinland-Pfalz,N,,,,,,,,,,,#REF!
STV Trier (ABH Thyrsusstraße),Rheinland-Pfalz,N,,,,,,,,,,,#REF!
STV Trier (ABH Außenstelle),Rheinland-Pfalz,N,,,,,,,,,,,#REF!
ABH Bitburg-Prüm (Trierer Str),Rheinland-Pfalz,N,,,,,,,,,,,#REF!
ABH Bitburg-Prüm (AfA),Rheinland-Pfalz,N,,,,,,,,,,,#REF!
KRV Vulkaneifel,Rheinland-Pfalz,N,,,,,,,,,,,#REF!
KRV Trier-Saarburg,Rheinland-Pfalz,N,,,,,,,,,,,#REF!
LK Trier-Saarburg AfA,Rheinland-Pfalz,N,,,,,,,,,,,#REF!
KRV Bernkastel-Wittlich,Rheinland-Pfalz,N,,,,,,,,,,,#REF!
ZAB Lebach,Saarland,N,,,,,,,,,,,#REF!
LRA Bautzen,Sachsen,N,,,,,,,,,,,#REF!
STV Dresden,Sachsen,N,,,,,,,,,,,#REF!
LRA Meißen,Sachsen,N,,,,,,,,,,,#REF!
LKR Görlitz,Sachsen,N,,,,,,,,,,,#REF!
LRA Sächs. Schweiz-Osterzgeb.,Sachsen,N,,,,,,,,,,,#REF!
Landkreis Leipzig,Sachsen,N,,,,,,,,,,,#REF!
Stadt Leipzig,Sachsen,N,,,,,,,,,,,#REF!
LKR Nordsachsen,Sachsen,N,,,,,,,,,,,#REF!
LRA Erzgebirgskreis,Sachsen,N,,,,,,,,,,,#REF!
LKR Mittelsachsen,Sachsen,N,,,,,,,,,,,#REF!
Landratsamt Zwickau,Sachsen,N,,,,,,,,,,,#REF!
STV Chemnitz,Sachsen,N,,,,,,,,,,,#REF!
ZAB Chemnitz,Sachsen,N,,,,,,,,,,,#REF!
EAE Dresden,Sachsen,N,,,,,,,,,,,#REF!
EAE Chemnitz,Sachsen,N,,,,,,,,,,,#REF!
EAE Leipzig,Sachsen,N,,,,,,,,,,,#REF!
LRA Vogtlandkreis,Sachsen,N,,,,,,,,,,,#REF!
LKR Harz-Außenstelle ZASt,Sachsen-Anhalt,N,,,,,,,,,,,#REF!
LKR Jerichower Land,Sachsen-Anhalt,N,,,,,,,,,,,
LKR Harz,Sachsen-Anhalt,N,,,,,,,,,,,
LKR Börde,Sachsen-Anhalt,N,,,,,,,,,,,
LHS Magdeburg,Sachsen-Anhalt,N,,,,,,,,,,,
LKR Altmarkkreis Salzwedel,Sachsen-Anhalt,N,,,,,,,,,,,
LRA Stendal Hauptstandort,Sachsen-Anhalt,N,,,,,,,,,,,
LRA Stendal Nebenstandort in der Landeserstaufnahmeeinrichtung Stendal,Sachsen-Anhalt,N,,,,,,,,,,,
Salzlandkreis,Sachsen-Anhalt,N,,,,,,,,,,,
STV Dessau-Roßlau,Sachsen-Anhalt,N,,,,,,,,,,,
STV Halle,Sachsen-Anhalt,N,,,,,,,,,,,
LKR Anhalt - Bitterfeld,Sachsen-Anhalt,N,,,,,,,,,,,
LKR Saalekreis,Sachsen-Anhalt,N,,,,,,,,,,,
Burgenlandkreis,Sachsen-Anhalt,N,,,,,,,,,,,
LKR Mansfeld - Südharz,Sachsen-Anhalt,N,,,,,,,,,,,
LKR Wittenberg,Sachsen-Anhalt,N,,,,,,,,,,,
Zentrale Abschiebestelle des Landes Sachsen-Anhalt,Sachsen-Anhalt,N,,,,,,,,,,,
SMD ABH Sachsen-Anhalt,Sachsen-Anhalt,N,,,,,,,,,,,
LaZuF - LUK Boostedt,Schleswig-Holstein,N,,,,,,,,,,,
LaZuF - LUK Rendsburg,Schleswig-Holstein,N,,,,,,,,,,,
LaZuF - LUK Bad Segeberg,Schleswig-Holstein,N,,,,,,,,,,,
LaZuF - LUK Seeth,Schleswig-Holstein,N,,,,,,,,,,,
LaZuF - LUK Glücksstadt,Schleswig-Holstein,N,,,,,,,,,,,
LaZuF - LUK Kiel,Schleswig-Holstein,N,,,,,,,,,,,
LaZuf - LUK Fahrenkrug,Schleswig-Holstein,N,,,,,,,,,,,
STV Flensburg,Schleswig-Holstein,N,,,,,,,,,,,
LHS Kiel,Schleswig-Holstein,N,,,,,,,,,,,
STV Neumünster,Schleswig-Holstein,N,,,,,,,,,,,
STV Lübeck,Schleswig-Holstein,N,,,,,,,,,,,
KRV Ostholstein,Schleswig-Holstein,N,,,,,,,,,,,
KRV Nordfriesland,Schleswig-Holstein,N,,,,,,,,,,,
KRV Herzogtum Lauenburg,Schleswig-Holstein,N,,,,,,,,,,,
KRV Dithmarschen,Schleswig-Holstein,N,,,,,,,,,,,
KRV Pinneberg,Schleswig-Holstein,N,,,,,,,,,,,
KRV Plön,Schleswig-Holstein,N,,,,,,,,,,,
KRV Rendsburg-Eckernfoerde,Schleswig-Holstein,N,,,,,,,,,,,
KRV Schleswig-Flensburg,Schleswig-Holstein,N,,,,,,,,,,,
KRV Segeberg,Schleswig-Holstein,N,,,,,,,,,,,
KRV Steinburg,Schleswig-Holstein,N,,,,,,,,,,,
KRV Stormarn,Schleswig-Holstein,N,,,,,,,,,,,
LaZuF - Neumünster,Schleswig-Holstein,N,,,,,,,,,,,
LaZuF - ZSFE,Schleswig-Holstein,N,,,,,,,,,,,
LaZuF - LZF 34,Schleswig-Holstein,N,,,,,,,,,,,
Clearingstelle Thüringer Landesverwaltungsamt,Thüringen,N,,,,,,,,,,,
LRA Weimarer Land,Thüringen,N,,,,,,,,,,,
STV Erfurt,Thüringen,N,,,,,,,,,,,
LRA Gotha,Thüringen,N,,,,,,,,,,,
LRA Unstrut-Hainich-Kreis,Thüringen,N,,,,,,,,,,,
LRA Nordhausen,Thüringen,N,,,,,,,,,,,
LRA Sömmerda,Thüringen,N,,,,,,,,,,,
LRA Kyffhäuserkreis,Thüringen,N,,,,,,,,,,,
STV Weimar,Thüringen,N,,,,,,,,,,,
LRA Eichsfeld,Thüringen,N,,,,,,,,,,,
LRA Saale-Holzland-Kreis,Thüringen,N,,,,,,,,,,,
STV Gera,Thüringen,N,,,,,,,,,,,
LRA Greiz,Thüringen,N,,,,,,,,,,,
STV Jena,Thüringen,N,,,,,,,,,,,
LRA Saalfeld-Rudolstadt,Thüringen,N,,,,,,,,,,,
LRA Saale-Orla-Kreis,Thüringen,N,,,,,,,,,,,
STV Suhl / Thüringen,Thüringen,N,,,,,,,,,,,
LRA Wartburgkreis,Thüringen,N,,,,,,,,,,,
LRA Hildburghausen,Thüringen,N,,,,,,,,,,,
LRA Ilm-Kreis,Thüringen,N,,,,,,,,,,,
LRA Schmalkalden-Meiningen,Thüringen,N,,,,,,,,,,,
LRA Sonneberg,Thüringen,N,,,,,,,,,,,
LRA Altenburger Land,Thüringen,N,,,,,,,,,,,
