Name,Stadt,Type,Land,Kontakt,Name
LRA Zollernalbkreis,Zollernalbkreis,Landkreis,Baden-Württemberg,N,
LRA Biberach,Biberach,Stadt,Baden-Württemberg,N,
LRA Calw,Calw,Stadt,Baden-Württemberg,N,
STV Öhringen,Öhringen,Stadt,Baden-Württemberg,N,
LRA Freudenstadt,Freudenstadt,Stadt,Baden-Württemberg,N,
STV Balingen,Balingen,Stadt,Baden-Württemberg,N,
STV Ehingen,Ehingen,Stadt,Baden-Württemberg,N,
STV Calw,Calw,Stadt,Baden-Württemberg,N,
LRA Ravensburg,Ravensburg,Stadt,Baden-Württemberg,N,
LRA Reutlingen,Reutlingen,Stadt,Baden-Württemberg,N,
LRA Rottweil,Rottweil,Stadt,Baden-Württemberg,N,
STV Überlingen,Überlingen,Stadt,Baden-Württemberg,N,
LRA Sigmaringen,Sigmaringen,Stadt,Baden-Württemberg,N,
LRA Tübingen,Tübingen,Stadt,Baden-Württemberg,N,
STV Mössingen,Mössingen,Stadt,Baden-Württemberg,N,
LRA Tuttlingen,Tuttlingen,Stadt,Baden-Württemberg,N,
STV Weingarten,Weingarten,Stadt,Baden-Württemberg,N,
STV Schwetzingen,Schwetzingen,Stadt,Baden-Württemberg,N,
STV Donaueschingen,Donaueschingen,Stadt,Baden-Württemberg,N,
STV Bad Rappenau,Bad Rappenau,Stadt,Baden-Württemberg,N,
ABH Remseck a. N.,Remseck a,Stadt,Baden-Württemberg,N,
STV Oberkirch,Oberkirch,Stadt,Baden-Württemberg,N,
BGM Eppingen,Eppingen,Stadt,Baden-Württemberg,N,
STV Giengen,Giengen,Stadt,Baden-Württemberg,N,
STV Hockenheim,Hockenheim,Stadt,Baden-Württemberg,N,
STV Kehl,Kehl,Stadt,Baden-Württemberg,N,
BGM Weil am Rhein,Weil am Rhein,Stadt,Baden-Württemberg,N,
STV Crailsheim,Crailsheim,Stadt,Baden-Württemberg,N,
STV Schramberg,Schramberg,Stadt,Baden-Württemberg,N,
BGM Ellwangen,Ellwangen,Stadt,Baden-Württemberg,N,
STV Rottenburg,Rottenburg,Stadt,Baden-Württemberg,N,
BGM Bretten,Bretten,Stadt,Baden-Württemberg,N,
BGM Radolfzell,Radolfzell,Stadt,Baden-Württemberg,N,
ABH Stadt Rheinfelden,Stadt Rheinfelden,Stadt,Baden-Württemberg,N,
STV Bad Mergentheim,Bad Mergentheim,Stadt,Baden-Württemberg,N,
STV Wertheim,Wertheim,Stadt,Baden-Württemberg,N,
STV Leinfelden-Echterdingen,Leinfelden-Echterdingen,Stadt,Baden-Württemberg,N,
STV Filderstadt,Filderstadt,Stadt,Baden-Württemberg,N,
STV Ostfildern,Ostfildern,Stadt,Baden-Württemberg,N,
STV Mosbach,Mosbach,Stadt,Baden-Württemberg,N,
BGM Gaggenau,Gaggenau,Stadt,Baden-Württemberg,N,
STV Rottweil,Rottweil,Stadt,Baden-Württemberg,N,
BGM Schorndorf,Schorndorf,Stadt,Baden-Württemberg,N,
BGM Bietigheim-Bissingen,Bietigheim-Bissingen,Stadt,Baden-Württemberg,N,
LRA Bodenseekreis,Bodenseekreis,Landkreis,Baden-Württemberg,N,
STV Neckarsulm,Neckarsulm,Stadt,Baden-Württemberg,N,
STV Mühlacker,Mühlacker,Stadt,Baden-Württemberg,N,
STV Vaihingen,Vaihingen,Stadt,Baden-Württemberg,N,
STV Winnenden,Winnenden,Stadt,Baden-Württemberg,N,
STV Bühl,Bühl,Stadt,Baden-Württemberg,N,
BGM Sinsheim,Sinsheim,Stadt,Baden-Württemberg,N,
STV Wiesloch,Wiesloch,Stadt,Baden-Württemberg,N,
BGM Emmendingen,Emmendingen,Stadt,Baden-Württemberg,N,
STV Wangen,Wangen,Stadt,Baden-Württemberg,N,
STV Waldshut-Tiengen,Waldshut-Tiengen,Stadt,Baden-Württemberg,N,
STV Ditzingen,Ditzingen,Stadt,Baden-Württemberg,N,
STV Weinstadt,Weinstadt,Stadt,Baden-Württemberg,N,
BGM Horb a.N.,Horb a,Stadt,Baden-Württemberg,N,
STV Nagold,Nagold,Stadt,Baden-Württemberg,N,
BGM Freudenstadt,Freudenstadt,Stadt,Baden-Württemberg,N,
